Estado,Sigla,Populacao_2021,PIB_PerCapita_2019
Acre,AC,894.47,R$ 19.87
Alagoas,AL,3.351.543,R$ 16.29
Amapá,AP,877.613,R$ 21.29
Amazonas,AM,4.268.224,R$ 19.78
Bahia,BA,15.203.934,R$ 16.81
Ceará,CE,9.187.103,R$ 18.13
Distrito Federal,DF,3.105.883,R$ 77.16
Espírito Santo,ES,4.064.052,R$ 33.53
Goiás,GO,7.113.540,R$ 25.73
Maranhão,MA,7.127.460,R$ 14.79
Mato Grosso,MT,3.526.220,R$ 35.23
Mato Grosso do Sul,MS,2.809.394,R$ 36.85
Minas Gerais,MG,21.292.666,R$ 29.72
Pará,PA,8.778.986,R$ 15.51
Paraíba,PB,4.089.796,R$ 17.25
Paraná,PR,11.516.840,R$ 32.90
Pernambuco,PE,9.616.621,R$ 20.25
Piauí,PI,3.281.480,R$ 17.19
Rio de Janeiro,RJ,17.463.963,R$ 44.75
Rio Grande do Norte,RN,3.534.165,R$ 17.34
Rio Grande do Sul,RS,11.467.923,R$ 38.00
Rondônia,RO,1.796.460,R$ 27.73
Roraima,RR,631.181,R$ 31.68
Santa Catarina,SC,7.252.502,R$ 45.69
São Paulo,SP,46.289.333,R$ 49.10
Sergipe,SE,2.318.822,R$ 18.83
Tocantins,TO,1.625.738,R$ 26.04
